id,city,city_min_wage,building_area,land_area,bedroom,bathroom,kitchen,dining_room,living_room,storeroom,laundry,garage,carport,floor_count,cctv,ac,legality,negotiable,est_installment,price
16324752,tangerang selatan,4670791,91,50,2,3,0,0,0,0,1,0,2,3.0,1,1,SHM,0,5875305,58000000000
15548742,jakarta utara,5067381,345,240,5,4,0,0,0,0,1,0,1,2.0,0,1,SHM,1,59613896,9250000000
14949261,bandung,3868638,150,128,4,4,0,0,0,0,1,1,1,2.0,0,0,SHM,1,19334236,3000000000
16327349,bogor,4696764,100,136,4,4,0,0,0,0,1,0,1,2.0,1,1,SHM,1,11600541,1800000000
16511180,bogor,4696764,48,70,2,1,0,0,0,0,1,1,1,1.0,0,0,SHM,1,2175350,585000000
16485766,bogor,4696764,100,180,2,2,0,0,0,1,1,1,1,2.0,1,1,SHM,1,7733694,1200000000
16485693,bandung,3868638,52,66,2,2,1,0,0,0,1,1,1,3.0,1,0,SHM,1,2229881,346000000
16485677,tangerang selatan,4670791,55,52,2,2,1,0,0,0,0,0,1,2.0,0,1,SHM,0,4479098,695000000
16485644,bogor,4696764,375,300,5,5,0,0,0,0,0,2,2,2.0,0,0,SHM,1,38668473,6000000000
16485577,tangerang,4681138,130,90,4,4,0,0,0,0,1,1,1,2.0,1,1,SHM,1,10633830,1650000000
14554175,bandung,3868638,185,187,4,4,0,0,0,0,1,0,1,2.0,1,0,SHM,1,17400812,2700000000
16485431,jakarta barat,5067381,180,80,5,4,0,0,0,0,1,1,1,3.0,0,0,SHM,1,14822914,2300000000
16485291,bandung,3868638,112,108,3,2,0,0,0,0,1,1,1,2.0,0,1,SHM,1,6283626,975000000
14602577,bandung,3868638,180,222,4,4,0,0,0,0,0,0,2,1.0,0,0,SHM,1,38668473,6000000000
14664110,jakarta utara,5067381,330,193,4,4,0,0,0,0,1,0,2,2.0,0,1,SHM,1,20452010,5000000000
16307945,jakarta barat,5067381,140,125,4,4,0,0,0,0,0,2,2,2.0,0,0,SHM,1,8831550,38000000000
16485528,jakarta barat,5067381,140,60,3,3,0,0,0,0,0,0,0,4.0,0,0,SHM,1,13211728,2050000000
16485524,jakarta timur,5067381,160,96,3,3,0,0,0,0,0,0,0,2.0,0,0,SHM,1,11278304,1750000000
16324143,tangerang selatan,4670791,108,149,5,3,1,0,0,0,1,0,2,2.0,1,1,SHM,1,9854150,65000000000
15090276,jakarta selatan,5067381,251,457,4,4,0,0,0,1,1,2,2,2.0,0,1,SHM,1,23054993,2000000000
16485516,bandung,3868638,150,166,2,2,0,0,0,0,1,1,1,3.0,1,1,SHM,1,14178440,2200000000
16390348,bandung,3868638,400,398,6,5,0,0,0,0,1,2,0,2.0,1,1,SHM,1,27035707,4200000000
15792792,tangerang selatan,4670791,157,227,4,2,0,0,0,0,0,0,0,1.0,0,0,SHM,1,8180804,2000000000
16269066,tangerang selatan,4670791,112,105,4,4,1,0,0,0,0,0,1,2.0,1,1,SHM,1,9854150,65000000000
12565438,jakarta selatan,5067381,425,308,6,5,0,0,0,0,1,1,2,2.0,0,0,SHM,1,35446100,5500000000
16351376,jakarta selatan,5067381,110,66,3,3,0,0,0,0,1,0,2,2.0,1,1,SHM,1,10311592,1600000000
12922706,tangerang,4681138,180,194,6,4,1,0,0,1,0,1,1,2.0,0,0,SHM,1,9203404,48000000000
16485872,surabaya,4725479,300,206,5,4,0,0,0,0,0,1,2,2.0,0,0,SHM,1,39957422,6200000000
16485828,surabaya,4725479,135,102,3,3,0,0,0,0,0,0,1,2.0,0,1,HGB,1,12245016,1900000000
16485601,bandung,3868638,52,66,2,2,1,0,0,0,1,1,1,3.0,1,0,SHM,1,2229881,346000000
16485492,bekasi,5281346,97,98,2,2,0,0,0,0,1,0,2,1.0,0,0,SHM,1,4833559,750000000
15881207,jakarta selatan,5067381,525,462,6,6,0,0,0,0,1,2,2,2.0,1,1,SHM,1,61356029,5000000000
14396577,tangerang selatan,4670791,240,231,4,4,1,0,0,0,0,0,2,2.0,0,0,SHM,1,19894228,35000000000
16485751,bandung,3868638,250,420,7,5,0,0,0,0,0,0,0,1.0,0,0,HGB,1,77336946,12000000000
16485646,bandung,3868638,70,75,3,2,0,0,0,0,1,1,1,2.0,1,1,SHM,1,5432920,843000000
14849825,bandung,3868638,140,139,4,3,0,0,0,0,1,0,1,2.0,0,1,SHM,1,9016199,1400000000
16009502,bogor,4696764,30,63,2,1,0,0,0,0,1,0,1,1.0,0,0,SHM,1,2835688,440000000
16472572,bandung,3868638,98,120,2,2,0,0,0,0,1,0,2,3.0,0,1,SHM,1,6965239,87000000000
16268048,surabaya,4725479,100,90,3,1,1,0,0,0,0,0,0,1.0,0,0,SHM,0,3997438,7000000000
16485400,bandung,3868638,192,153,3,3,0,0,0,0,1,1,1,3.0,1,0,SHM,1,19334236,3000000000
16485340,bandung,3868638,110,128,4,2,1,0,0,0,1,0,1,1.0,0,1,SHM,1,6760538,1050000000
14851201,bandung,3868638,90,114,3,2,0,0,0,0,0,0,1,1.0,0,0,SHM,1,5149351,799000000
16485585,tangerang,4681138,72,72,2,1,0,0,0,0,0,1,1,1.0,1,1,SHM,1,3737952,580000000
15535729,jakarta selatan,5067381,340,515,6,3,0,0,0,0,1,2,2,2.0,1,1,SHM,1,67669828,10500000000
16486124,jakarta timur,5067381,250,109,5,4,1,0,0,0,1,0,2,3.0,0,0,SHM,0,16756338,2600000000
11515704,jakarta pusat,5067381,100,158,5,4,0,0,0,0,1,0,1,1.0,0,0,SHM,1,10783787,9000000000
15511088,jakarta selatan,5067381,300,180,5,6,1,0,0,0,1,1,2,3.0,0,0,SHM,1,30934778,4800000000
15974310,jakarta selatan,5067381,420,235,5,5,0,0,0,0,1,2,2,2.0,1,1,SHM,1,53491388,8300000000
16485337,jakarta selatan,5067381,300,155,5,2,0,0,0,0,1,1,2,2.0,0,1,SHM,0,19334236,3000000000
16485292,jakarta utara,5067381,160,200,6,4,0,0,0,0,0,1,0,2.0,0,0,SHM,0,32223727,5000000000
14602599,bandung,3868638,211,375,5,4,0,0,0,0,0,2,2,1.0,0,0,SHM,0,36735049,5700000000
16508400,tangerang,4681138,36,72,2,1,0,0,0,0,0,0,1,1.0,0,1,SHM,1,2788910,750000000
16332104,jakarta barat,5067381,104,52,2,2,0,0,0,0,0,0,0,2.0,0,0,Lainnya,1,4276329,15000000000
16485813,tangerang,4681138,120,170,4,4,0,0,0,0,1,0,2,2.0,0,1,SHM,1,23201083,3600000000
16485728,malang,3338709,95,72,3,2,0,0,0,0,1,1,1,1.0,0,1,SHM,1,5896942,915000000
16485557,jakarta timur,5067381,200,140,4,4,0,0,0,0,1,0,2,2.0,1,1,SHM,1,23845558,3700000000
